Norm,Environment,Context,Label
Poverty-driven despair and suicide,Impoverished areas,An impoverished person attempting suicide due to poverty,Taboo
Showing courtesy towards the host,Family party,A guest thanking and complimenting the host on the food,Expected
Avoiding illicit relations between unmarried men and women,Park,For an unmarried young couple in the park,Normal
Prioritizing the elderly,Bus,A youth giving their seat to an elderly person,Expected
Avoiding disruption of public order,Stadium,Spectators watching a match,Normal
Mistreating domestic/wild animals,Park,Children mistreating animals in the park,Taboo
Honoring knowledge,University,Students and professors respecting knowledge,Expected
Complete segregation of recreational facilities,Pool,Separate pools for men and women,Expected
Disrespecting others' privacy,Cyberspace,Someone posting private pictures of others,Taboo
Helping underprivileged children's education,School,Philanthropists funding education for underprivileged students,Expected
Open verbal abuse in public,City street,A young couple having a heated argument with verbal abuse,Taboo
Women's presence in commercial activities,Traditional market,Women present in commercial spaces and participating in trade,Normal
Introducing Iranian traditional sciences/knowledge,Traditional Library,Visiting manuscript libraries/ancient texts,Expected
Friendliness and hospitality towards others,Traditional market,For sellers and buyers in traditional markets,Expected
Supporting national values and cultural heritage,Museum,For visitors to museums and historical sites,Expected
Honesty and integrity,Business environment,Business owners are honest in their dealings,Expected
Respecting others' privacy,Hotel room,A guest entering roommates' room without permission,Taboo
Properly using public transportation,Subway Station,Passengers boarding/deboarding subway,Expected
Having outer cleanliness,Medical centers,Patients entering clinics in clean attire,Normal
Assisting war veterans to disembark trains,Train station,Drivers/passengers helping disabled veterans disembark trains,Expected
Using air conditioning in the desert,Desert,A group of tourists using air conditioning units to cool off in the desert,Expected
Attending strangers' memorial and mourning ceremonies,Mourning ceremony,Neighborhood mourning ceremony,Normal
Holding free elections to choose representatives,Municipality,Free elections for mayor/council members,Expected
Warm and friendly interaction,Government office,Employees exhibiting warm and friendly behavior towards citizens,Taboo
Gender discrimination and inequality,Workplace,Gender discrimination between male and female employees at a company,Normal
Shoplifting,Bazaar,A youth shoplifting from a store in the bazaar,Taboo
Using VPNs to access filtered websites,Home,Users using VPNs to bypass internet filtering,Expected
Adhering to ethical-social standards/morality,Workplace,Employees adhering to ethical standards,Expected
Appropriate appearance/avoiding offensive behavior,Marriage Ceremony,Marriage contract solemnization ceremony,Expected
Preparing votive food for distribution,Home kitchen,A woman cooking votive food,Expected
Observing Islamic hijab in public places,City street,A woman in full Islamic attire walking on the street,Expected
Maintaining calm in public places,Mourning Ceremony,Mourners holding mourning ceremony,Expected
Not littering in public areas,City street,Citizens,Expected
Silence and calmness,Public transportation,Quiet passengers on a bus,Expected
Refraining from violent and insulting behavior,Stadium,Spectators at a sports stadium,Normal
Running and exercising,Park,In a park and open space,Normal
Holding traditional village weddings,Village,Villagers celebrating a traditional wedding,Expected
Preserving cultural and historical heritage sites,Museum,People visiting and protecting historical artifacts and cultural heritage,Expected
Water splashing and joy near water,Tirgan festival,A group of youth splashing water on each other playfully,Expected
Avoiding yelling and speaking loudly,Hospital,In the calm and quiet environment of a hospital,Expected
Not shaking hands with the opposite gender,Workplace,A male and female coworker at work,Expected
Displaying unethical and anti-value symbols,School,By students in the school environment,Taboo
Staring at the opposite sex's body,Public transportation,A man staring at a woman's body on the bus,Taboo
Maintaining decorum in the educational environment,University,Students behaving calmly and following rules in classrooms,Expected
Promoting healthy lifestyle and exercise,Gym,Citizens engaging in fitness activities,Expected
Separate seating for men and women,Mourning ceremony,Men and women seated separately at the ceremony,Expected
Holding art exhibitions in parks,Park,Artists holding an art exhibition in a park,Normal
Environmental protection/cleanliness of public spaces,City Street,Pedestrians and drivers on the street,Expected
Preserving cultural heritage and historical artifacts,Historical sites,Protection and restoration of historical sites by heritage experts,Expected
Fraud and deception of others,Traditional market,By street vendors and shopkeepers in a traditional market,Taboo
Attending official ceremonies in casual attire,Inauguration ceremony,Attending a presidential inauguration ceremony casually dressed,Taboo
Girls are expected to remain virgins until marriage,Family gathering,A young woman at a family gathering,Expected
Speaking against Shia beliefs,Hussainiya,A speaker criticizing Shia beliefs at a Hussainiya,Taboo
Family gathering,Sizdah Bedar,Family in the park for Sizdah Bedar outing,Expected
Wearing traditional old clothes on Yalda Night,Family gathering,"Wearing local, old-fashioned clothes",Normal
Avoiding shouting in public places,Restaurant,An angry customer shouting loudly,Taboo
Sharing sexually explicit or nude content,Cyberspace,Users in cyberspace,Taboo
